
AINC 0.457 8.9 8.58 11.4 7.6
BTBT 0.446 14.57 21.91 24.31 13.76
PECK 1.11 13.02 10.46 13.68 10.06
SYN 0.879 0.94 1.0 1.7 0.9343
CHEK 0.6404 2.4 1.73 2.93 1.67
NAKD 0.5632 0.3442 0.412 0.47 0.275
ZSAN 0.4254 0.84 0.805 1.05 0.75
ISR 2.26 1.74 1.42 2 1.31
AIKI 0.689 1.45 1.04 1.25 1
TATT 0.49 7.62 6.59 8.34 6.25
GHSI 0.47 0.8 0.6594 1.04 0.6
CHNG 0.316 24.04 23.72 24.21 23.51
LMFA 1.77 0.78 2.13 2.31 0.71
APDN 1.049 5.71 11.64 12.35 5.56
PTE 0.721 1.02 1.32 1.5 0.8787
CMRX 0.691 6.55 8.42 9.35 6.55
CNET 0.656 2.69 3.09 4.750 2.63
CHRA 0.8192 4.88 3.85 5.2 3.54
AVGR 0.6487 1.84 1.47 1.89 1.41
SENS 0.533 1.84 1.58 2.04 1.5
DBVT 0.4251 5.32 5.66 5.9 4.98
OBSV 0.4167 3.54 4.07 4.39 3.4
AMC 3.098 20.34 19.90 20.36 11.01
EXPR 1.605 7.93 9.55 13.97 5.32
GME 1.351 354.83 347.51 380 249
KOSS 0.8 17.52 58 69.79 14.19
CANG 0.387 11.99 12.08 12.44 10.30
JAN 1.312 22.3 12.99 31.83 11.8
ACY 0.82 18.04 12.75 21.6 10.08
MNPR .681 11.05 8.51 11.6 8.31
NAKD 0.615 2.24 1.39 3.4 1.1
SNDL 0.581 0.9584 0.825 1.360 0.6517
SIEB 2.342 12.53 8.22 18.50 8.01
GME 0.9399 379.71 325 413.98 250.00
LMFA 0.933 2.89 2.05 3.17 1.95
KOSS 0.7398 72.87 64 105.4 53
AMC 0.659 14.31 13.26 16 11.6
SINO 1.175 10.30 7.44 11.3 7.11
TYME 0.664 3.03 3.53 4.99 2.8
VCVC 0.488 16.31 16.35 16.66 14.62
GWPH 0.471 215 211.37 217.50 210.35
SLS 0.438 11.75 9.4 13.15 8.60
AACG 1.705 3.67 14.3 19.75 3.45
AVXL 0.9258 19.94 14.91 28.70 13.8
ATOS 0.3569 4.43 4.33 4.9 4.03
THTX 0.3504 3.17 2.7 3.17 2.63
LIZI 0.2835 10.91 14.49 16.01 10.5
CRHM 0.8165 3.95 3.92 3.99 3.9
OCGN 0.7676 9.28 15.81 18.77 9.13
NMRD 0.5922 11.02 9.78 12.58 8.38
WPRT 0.4358 12.45 12.16 12.95 11.36
SNPR 0.3628 17.57 17.24 18.33 16.52
CLEU 1.237 9.14 6.33 9.82 5.65
ARTL 0.7669 2.88 2.66 3.67 2.5
DNN 0.2547 1.33 1.11 1.34 1.07
FSR 0.2008 18.54 18.99 19.9 17.27
HUBS 0.1997 517.02 502.40 527.69 497.07
VCNX 1.0732 5.95 4.88 9.56 4.7
JMP 0.7485 8.69 7.2 8.99 6.35
WATT 0.5860 5.87 7.23 7.69 4.830
JFU 0.2738 3.35 2.75 3.5 2.61
TAOP 0.2656 7.21 7.04 9.69 6.21
NNVC 0.9194 8.20 6.65 8.71 6.52
JCS 0.8692 10.03 7.24 11.45 7.13
GEG 0.3623 3.26 3.92 4.33 3.14
CHFS 0.2684 9.59 8.97 12.38 8.46
INUV 0.2519 1.63 1.4 1.69 1.36
FPRX 0.7874 37.99 38 38.18 37.7
SLGG 0.6929 6.16 8.82 9.1 5.96
AESE 0.3080 3.059 3.27 3.55 2.66
SVBI 0.2769 10.55 10.7 10.94 10.53
GNUS 0.2357 1.61 1.94 2.11 1.58
SPCB 1.0414 2.94 2.24 2.95 2.04
SNES 0.8036 3.04 2.27 3.14 2.23
