
NCTY -0.452 21.70 17.10 27.82 16.1
FTFT -0.375 2.31 5.75 5.92 2.17
CBAT -0.367 8.77 7.72 8.8 7.31
UONE -0.230 6.83 6.95 7.43 6
ADXN -0.2 10.83 10.51 10.83 10.36
UONEK -0.1977 1.429 1.44 1.49 1.36
DUOT -0.1742 4.74 4.37 4.813 4.3
DGLY -0.1680 3.026 2.76 3.026 2.62
SRPT -0.4971 85 82.29 88.48 82.25
SOS -0.3844 1.9 1.89 2.138 1.635
KMPH -0.2861 5.9 5.6 6 5.06
CTRM -0.2688 0.1745 0.1950 0.1950 0.1745
NLTX -0.2091 12.5 14.05 14.34 12.35
EZGO -0.2656 13.36 9.10 14.12 8
BIOL -0.1867 1.208 1.24 1.44 1.13
AIKI -0.1732 1.47 1.41 1.65 1.365
NDRA -0.1684 2.4 2.2 2.75 2.02
TTOO -0.1637 2.35 2.24 2.55 2.03
AMC -0.4 11.98 8.63 16.5 6.51
FOSL -0.2967 17.19 14.66 19.52 13.55
EXPR -0.2723 7.11 4.7 9.05 3.4
GME -0.2427 265 193.6 483 112.25
BB -0.2402 19.47 14.65 22.50 13.40
TGC -0.393 2.4 2.42 3.4 2.3
BRN -0.3733 3.5 3.32 3.95 3.12
PED -0.3432 1.88 2.11 2.23 1.74
GBR -0.3208 16.92 11.11 17 11
CEI -0.2823 1.46 1.39 1.69 1.33
VXRT -0.5366 10.84 9.85 12.74 8.8
MBRX -0.2254 4.98 4.68 4.99 4.6
NTN -0.1568 4.94 5.21 5.34 4.67
OCGN -0.1319 2.83 2.81 3.03 2.57
VYGR -0.13 7 7.49 7.54 6.75
TYME -0.2748 2.56 2.26 2.57 2.23
XOG -0.2143 28 28 28.37 26.60
ISR -0.2011 1.51 1.55 1.61 1.5
HYRE -0.1882 12.54 14.3 14.9 12.12
ITRM -0.1678 1.24 1.25 1.3 1.22
ERYP -0.1836 9.8 9.55 9.9 9.46
TRCH -0.15 1.35 1.53 1.655 1.33
AIHS -0.1469 1.53 1.57 1.63 1.41
CRNT -0.1362 4.83 5.07 5.24 4.55
WHLR -0.1245 4.11 4.6 4.761 3.93
IFMK -0.3333 2.25 2.47 2.64 1.92
SMTI -0.3293 27 30 34.12 27
CLGN -0.2804 17.44 16.45 17.80 16.01
LLNW -0.2566 3.4 3.955 3.96 3.25
FOLD -0.2365 14.1 12.57  14.35 12.24
SXTC -0.2270 0.795 0.785 0.87 0.71
SIVB -0.2044 525.18 540.4 540.91 525.18
RXT -0.1166 22.05 20.93 22.68 20.77
CNDT -0.1055 5.40 5.08 5.4 4.76
TKAT -0.0976 3.65 3.5 3.88 3.37
FGEN -0.2478 38 38.07 39.42 33.84
STIM -0.1820 13.16 15.03 15.49 12.21
INSG -0.1750 12.32 10.58 12.86 10.19
RDHL -0.1550 7.77 7.8 8.16 7.71
LODE -0.1515 4.4 4.88 4.99 4.38
SDGR -0.2832 72.04 72.59 80.64 69.03
COHN -0.2376 31.52 32 32.85 26.65
PRPLO -0.2296 27.9 24.37 29.34 23.72
YEXT -0.2115 13.01 14.57 15.82 13.00
VRM -0.2089 34.59 31.61 35.49 29.7
IDRA -0.6161 2 1.98 2.07 1.81
BSQR -0.21 4.206 4.855 4.96 4.02
NUZE -0.1275 4.5 4.01 4.63 3.9
WKEY -0.1221 11.5 10.81 13.40 10.37 
XYF -0.1036 4.26 4.44 4.7 4.25
BNTC -0.2689 6.8 5.42 7.22 5.13
EYES -0.2480 8.34 8.82 9.63 8.28
TKAT -0.1385 45.36 36.76 49 35.2
GME -0.1310 157.98 120.34 166.97 118.62
MN -0.1113 6.89 6.52 7 6.49
WKEY -0.3046 14.22 14.26 16.45 13.6
DLPN -0.2291 14.66 17.82 18.89 13.83
EVFM -0.2275 1.8 1.71 1.87 1.695
RAD -0.1699 19.49 18.57 19.88 17.61
LIVE -0.1645 26.29 26.53 27.79 25.40
VUSI -0.1535 22.28 22.84 23.88 20.4
APOP -0.1384 4.14 4.02 4.16 3.71
SAIC -0.1370 83.13 80 84 77.65
GAN -0.1216 20.4 19.98 21.99 18.12
TME -0.1002 18.35 20.10 21.12 16.31
AZRX -0.2799 0.95 1.02 0.9323 1.03
CYBE -0.1683 26.25 26.69 26.76 26.23
EBON -0.1421 6.81 7.03 7.3 6.7
XSPA -0.1359 1.56 1.67 1.68 1.56
CTIC -0.1271 2.54 2.54 2.58 2.48
CTRM -0.2282 0.5697 0.5832 0.6029 0.5595
ACAD -0.1692 21.25 21.18 22.07 20.92
UXIN -0.1269 1.73 1.5 1.915 1.46
MTEM -0.1238 10.89 9.51 10.9 9.12
GME -0.1055 171 186.95 195 164.81
TSIB -0.6223 3.72 10.13 10.21 3.72
PRBV -0.3436 6.4 8 8.44 6.36
NVOS -0.2133 2.92 2.74 2.92 2.7
VRPX -0.2033 4.809 4.86 5.15 4.79
MDRR -0.1657 1.45 1.425 1.52 1.42
JOB -0.3422 0.559 0.577 0.5585 0.5515
TBLT -0.1018 0.7519 0.7539 0.7759 0.7215
AMPG -0.965 7.59 6.59 7.77 6.33
QS -0.942 26.98 35.85 39.37 34.22
